and	and	CC		0				Z5	04:03	ZC	
Physician	physician	NN1		0	01:03:03:07:01-04 01:10:07-01	AC:02:g:01 AJ:07	Physician	B3/S2mf	01:03:03:07:01	AC:02:g:01	
in	in	II		0			Grammatical	Z5	04:03	ZC	
Ordinary	ordinary	JJ		0	01:15:21:03-12:02 03:01:06:02:01	AO:22:b AY:06:b	usual/ordinary	A6:2+	01:15:21:03-12	AO:22:b	
to	to	II		0			Grammatical	Z5	04:03	ZC	
His	his	APPGE		1:2:1	02:06:01-03:03:02	AW:01	his/her	S7:1+/S2:2m	02:06:01-03:03:01	AW:01	
Majesty	majesty	NN1		1:2:2				S7:1+/S2:2m	03:04:06:13:03-01	BB:06:h:03	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
</P>	XMLCODE	NULL		0				Z99	NULL	04:10	
<P>	XMLCODE	NULL		0				Z99	NULL	04:10	
Quae	quae	NN2		0				Z99	NULL	04:10	
per	per	II		0			Grammatical	Z5	04:03	ZC	
constructionem	constructionem	NN1		0				Z99	NULL	04:10	
lapidum	lapidum	NN1		0				Z99	NULL	04:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
&amp;amp	&amp;amp	FO		0				Z99	NULL	04:10	
;	PUNC	YSCOL		0				PUNC	NULL	NULL	
marmoreas	marmorea	NN2		0				Z99	NULL	04:10	
moles	mole	NN2	L2mfn A10-/S2@	0	01:01:05:09:08:01-05 01:05:19:05-01:05:01	AA:04:g AE:14	mole	B1	01:03:01:07-04	AC:01:d	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
aut	aut	VV0		0				Z99	NULL	04:10	
terrenos	terreno	NN2		0				Z99	03:02:07:03:06-09:02	AZ:06:f:02	
tumulos	tumulo	NN2		0				Z99	NULL	04:10	
in	in	II		0			Grammatical	Z5	04:03	ZC	
magnam	magnam	JJ		0				Z99	NULL	04:10	
eductos	educto	NN2		0				Z99	NULL	04:10	
altitudinem	altitudinem	VV0		0				Z99	NULL	04:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
constant	constant	JJ	A2:1- S6+	0	02:05:05:02 01:16:04:04-08:04	AV:04:b AP:04:k	Constant/steadfast	T2++	02:04:13:05-09	AU:27:d	
;	PUNC	YSCOL		0				PUNC	NULL	NULL	
non	non	FU		0			Negative	Z6	04:04	ZD	
propagabunt	propagabunt	NN1		0				Z99	NULL	04:10	
longam	longam	NN1		0				Z99	NULL	04:10	
diem	diem	NN1		0				Z99	NULL	04:10	
:	PUNC	YCOL		0				PUNC	NULL	NULL	
quip	quip	VV0		0	02:01:08:01:03:01:02 02:01:08:01:03:01:02	AR:17:c AR:17:c		E4:1+	02:01:08:01:03:01	AR:17:c	quippe
&amp;amp	&amp;amp	FO		0				Z99	NULL	04:10	
;	PUNC	YSCOL		0				PUNC	NULL	NULL	
ipsa	ipsa	NN1		0				Z99	NULL	04:10	
intereunt	intereunt	NN1		0				Z99	NULL	04:10	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
</P>	XMLCODE	NULL		0				Z99	NULL	04:10	
Seneca	seneca	NN1		0				Z99	NULL	04:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
de	de	NP1		0			Grammatical	Z5	04:03	ZC	
Consolat:	consolat:	NP1		0				Z99	NULL	04:10	
ad	ad	RA		0				A13:4	04:10	ZZ	
Polyb	polyb	NP1		0				Z99	NULL	04:10	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
<P>	XMLCODE	NULL		0				Z99	NULL	04:10	
LONDON	london	NP1		0				Z2	04:01:02	ZA02	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
Printed	print	VVN		0	03:09:08:23 03:09:08-01	BG:08:m BG:08	Print	Q1:2	03:09:08	BG:08	
for	for	IF		0			Grammatical	Z5	04:03	ZC	
